rdfid,name,time,value,sub_rdfid
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,19.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,19.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,19.0,0.9999999999999999,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,19.0,-21.793538786728213,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,19.0,0.9999999999999999,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,19.0,-26.115351286251535,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,19.0,0.8865780038516164,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,19.0,-15.73456054478497,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,19.0,0.8351626672118526,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,19.0,-28.490593576814472,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,19.0,0.9490893642549391,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,19.0,-29.12372396287939,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,19.0,0.8957904116536936,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,19.0,-33.93960520075368,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,19.0,0.9330943233590019,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,19.0,-28.061572403159676,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,19.0,0.7984207800356806,_9D8BB8E8B5DB40F6ABF515042B7DFF97
